Stack,Symbol,Input,Action
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 47 221 123 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||id","<","根据loc -> id 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 56 221 123 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idloc","<","根据factor -> loc 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 54 221 123 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactor","<","根据unary -> factor 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 59 221 123 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunary","<","根据term -> unary 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 58 221 123 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunaryterm","<","根据expr -> term 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 53 221 123 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr","<","移入"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 53 112 123 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<","num","移入"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 53 112 181 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<num",")","根据factor -> num 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 53 112 185 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactor",")","根据unary -> factor 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 53 112 188 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunary",")","根据term -> unary 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 53 112 187 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunaryterm",")","根据expr -> term 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 53 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexpr",")","根据rel -> expr < expr 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 57 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrel",")","根据equality -> rel 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 52 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequality",")","根据join -> equality 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoin",")","根据bool -> bool || join 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 107 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool",")","移入"
"0 1 3 6 11 29 51 106 167 264 306 11 29 44 104 162 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)","&&","根据factor -> ( bool ) 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 54 104 162 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factor","&&","根据unary -> factor 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 59 104 162 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunary","&&","根据term -> unary 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 58 104 162 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunaryterm","&&","根据expr -> term 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 53 104 162 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunarytermexpr","&&","根据rel -> expr 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 57 104 162 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrel","&&","根据equality -> rel 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 52 104 162 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequality","&&","根据join -> equality 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 55 104 162 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoin","&&","移入"
"0 1 3 6 11 29 51 106 167 264 306 11 29 55 116 162 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoin&&","id","移入"
"0 1 3 6 11 29 51 106 167 264 306 11 29 55 116 47 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoin&&id","[","根据loc -> id 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 55 116 56 171 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoin&&idloc","[","移入"
"0 1 3 6 11 29 51 106 167 264 306 11 29 55 116 56 117 112 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoin&&idloc[","num","移入"
"0 1 3 6 11 29 51 106 167 264 306 11 29 55 116 56 117 84 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoin&&idloc[num","]","根据factor -> num 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 55 116 56 117 90 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoin&&idloc[numfactor","]","根据unary -> factor 规约"
"0 1 3 6 11 29 51 106 167 264 306 11 29 55 116 56 117 95 184 197 175","{declsbasictypeid;decldeclsbasictype[num]typeid;decldeclsstmtsidloc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=numfactorunarytermexprrelequalityjoinbool;stmtstmtsif(idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool){declsbasictypeid;decldeclsstmtsidloc=numfactorunarytermexpr+numfactorunaryterm*(numfactorunarytermexpr-numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoinbool;stmtstmtsidloc[numfactorunarytermexprrelequalityjoinbool]loc=realfactorunarytermexprrelequalityjoinbool;stmtstmtsif((idlocfactorunarytermexpr>numfactorunarytermexprrelequalityjoinbool||idlocfactorunarytermexpr<numfactorunarytermexprrelequalityjoinbool)factorunarytermexprrelequalityjoin&&idloc[numfactorunary","]","根据term -> unary 规约"
